sample_id,sample_date,chemical,chem_conc,rolling_avg
Q1,1988-06-14,ca,3.53,NA
Q1,1988-06-14,nh4_n,68,NA
Q1,1988-06-14,no3_n,NA,NA
Q1,1988-06-21,k,0.81,NA
Q1,1988-06-21,mg,1.95,NA
Q1,1988-06-21,ca,2.66,NA
Q1,1988-06-21,nh4_n,158,NA
Q1,1988-06-21,no3_n,NA,NA
Q1,1988-06-28,k,0.71,NA
Q1,1988-06-28,mg,2.71,NA
Q1,1988-06-28,ca,4.87,NA
Q1,1988-06-28,nh4_n,NA,NA
Q1,1988-06-28,no3_n,NA,NA
Q1,1988-07-05,k,0.78,NA
Q1,1988-07-05,mg,2.84,NA
Q1,1988-07-05,ca,3.41,NA
Q1,1988-07-05,nh4_n,NA,NA
Q1,1988-07-05,no3_n,NA,NA
Q1,1988-07-12,k,NA,NA
Q1,1988-07-12,mg,0.54,NA
Q1,1988-07-12,ca,NA,NA
Q1,1988-07-12,nh4_n,NA,NA
Q1,1988-07-12,no3_n,NA,NA
Q1,1988-07-19,k,0.73,NA
Q1,1988-07-19,mg,1.84,NA
Q1,1988-07-19,ca,2.54,NA
Q1,1988-07-19,nh4_n,NA,NA
Q1,1988-07-19,no3_n,NA,NA
Q1,1988-07-22,k,0.82,NA
Q1,1988-07-22,mg,2.47,NA
Q1,1988-07-22,ca,3.2,NA
Q1,1988-07-22,nh4_n,NA,NA
Q1,1988-07-22,no3_n,NA,NA
Q1,1988-07-26,k,NA,NA
Q1,1988-07-26,mg,NA,NA
Q1,1988-07-26,ca,NA,NA
Q1,1988-07-26,nh4_n,NA,NA
Q1,1988-07-26,no3_n,NA,NA
Q1,1988-07-26,k,0.71,NA
Q1,1988-07-26,mg,1.65,NA
Q1,1988-07-26,ca,2.43,NA
Q1,1988-07-26,nh4_n,NA,NA
Q1,1988-07-26,no3_n,NA,NA
Q1,1988-08-02,k,0.73,NA
Q1,1988-08-02,mg,2.9,NA
Q1,1988-08-02,ca,3.48,NA
Q1,1988-08-02,nh4_n,NA,NA
Q1,1988-08-02,no3_n,NA,NA
Q1,1988-08-09,k,0.81,NA
Q1,1988-08-09,mg,2.92,NA
Q1,1988-08-09,ca,3.56,NA
Q1,1988-08-09,nh4_n,NA,NA
Q1,1988-08-09,no3_n,NA,NA
Q1,1988-08-16,k,0.84,NA
Q1,1988-08-16,mg,2.85,NA
Q1,1988-08-16,ca,3.49,NA
Q1,1988-08-16,nh4_n,16,NA
Q1,1988-08-16,no3_n,NA,NA
Q1,1988-08-23,k,0.87,NA
Q1,1988-08-23,mg,2.71,NA
Q1,1988-08-23,ca,3.95,NA
Q1,1988-08-23,nh4_n,NA,NA
Q1,1988-08-23,no3_n,135,NA
Q1,1988-08-24,k,0.76,NA
Q1,1988-08-24,mg,0.86,NA
Q1,1988-08-24,ca,1.23,NA
Q1,1988-08-24,nh4_n,NA,NA
Q1,1988-08-24,no3_n,8,NA
Q1,1988-08-24,k,NA,NA
Q1,1988-08-24,mg,NA,NA
Q1,1988-08-24,ca,NA,NA
Q1,1988-08-24,nh4_n,NA,NA
Q1,1988-08-24,no3_n,7,NA
Q1,1988-08-24,k,0.77,NA
Q1,1988-08-24,mg,NA,NA
Q1,1988-08-24,ca,1.79,NA
Q1,1988-08-24,nh4_n,NA,NA
Q1,1988-08-24,no3_n,NA,NA
Q1,1988-08-24,k,0.48,NA
Q1,1988-08-24,mg,0.47,NA
Q1,1988-08-24,ca,0.75,NA
Q1,1988-08-24,nh4_n,NA,NA
