sample_id,sample_date,chemical,chem_conc
Q1,1989-04-18,k,0.78
Q1,1989-04-18,mg,2.79
Q1,1989-04-18,ca,4.92
Q1,1989-04-18,nh4_n,NA
Q1,1989-04-18,no3_n,114
Q1,1989-04-25,k,0.88
Q1,1989-04-25,mg,2.74
Q1,1989-04-25,ca,4.92
Q1,1989-04-25,nh4_n,NA
Q1,1989-04-25,no3_n,147
Q1,1989-05-02,k,0.91
Q1,1989-05-02,mg,2.8
Q1,1989-05-02,ca,4.96
Q1,1989-05-02,nh4_n,NA
Q1,1989-05-02,no3_n,135
Q1,1989-05-09,k,0.99
Q1,1989-05-09,mg,2.61
Q1,1989-05-09,ca,4.62
Q1,1989-05-09,nh4_n,NA
Q1,1989-05-09,no3_n,148
Q1,1989-05-16,k,0.89
Q1,1989-05-16,mg,2.87
Q1,1989-05-16,ca,4.75
Q1,1989-05-16,nh4_n,NA
Q1,1989-05-16,no3_n,149
Q1,1989-05-23,k,0.86
Q1,1989-05-23,mg,2.89
Q1,1989-05-23,ca,4.81
Q1,1989-05-23,nh4_n,NA
Q1,1989-05-23,no3_n,142
Q1,1989-05-30,k,0.88
Q1,1989-05-30,mg,2.96
Q1,1989-05-30,ca,4.74
Q1,1989-05-30,nh4_n,NA
Q1,1989-05-30,no3_n,144
Q1,1989-06-06,k,1.4
Q1,1989-06-06,mg,4.97
Q1,1989-06-06,ca,5.22
Q1,1989-06-06,nh4_n,NA
Q1,1989-06-06,no3_n,134
Q1,1989-06-13,k,0.82
Q1,1989-06-13,mg,2.06
Q1,1989-06-13,ca,4.83
Q1,1989-06-13,nh4_n,NA
Q1,1989-06-13,no3_n,129
Q1,1989-06-20,k,0.81
Q1,1989-06-20,mg,3.08
Q1,1989-06-20,ca,4.3
Q1,1989-06-20,nh4_n,NA
Q1,1989-06-20,no3_n,141
Q1,1989-06-27,k,0.83
Q1,1989-06-27,mg,3.15
Q1,1989-06-27,ca,4.53
Q1,1989-06-27,nh4_n,NA
Q1,1989-06-27,no3_n,161
Q1,1989-07-05,k,0.89
Q1,1989-07-05,mg,1.26
Q1,1989-07-05,ca,2.4
Q1,1989-07-05,nh4_n,NA
Q1,1989-07-05,no3_n,10
Q1,1989-07-11,k,1.02
Q1,1989-07-11,mg,2.95
Q1,1989-07-11,ca,5.05
Q1,1989-07-11,nh4_n,NA
Q1,1989-07-11,no3_n,123
Q1,1989-07-18,k,1.02
Q1,1989-07-18,mg,2.79
Q1,1989-07-18,ca,4.93
Q1,1989-07-18,nh4_n,NA
Q1,1989-07-18,no3_n,NA
Q1,1989-07-26,k,0.95
Q1,1989-07-26,mg,2.6
